% %  Exp3, Try1: sc black foot from soils surface 2cm down then forward (in x direction) 15cm then 10cm up
% Created on:05.04.2011 - 11:50
% Control Thread cycle time: 40 msec
% log cycle time: 40 msec
% Joint angles in [rad], force in [N], and torque in [Nm]

% msec; Joint0; Joint1; Joint2; Joint3; Joint4; Joint5; Joint6; Fx; Fy; Fz; Tx; Ty; Tz; FTStatus; RTDSeq; FTSeq; Marker; currentPointID; X; Y; Z; Rx; Ry; Rz
1953; -0.000110545; 0.349492; -0.000190826; 1.19891; 0.000170739; 1.59176; 1.57147; -0.176819; -3.199374; -2.582869; 0.074456; -0.003320; 0.004087; 0; 1; 61949322; 0; -1; -388.989; 0.0741114; 442.662; -179.918; 0.00609104; 89.9452
1984; -0.000110545; 0.34966; -0.000190826; 1.19716; 0.000170739; 1.59343; 1.57147; -0.172684; -3.211572; -2.590408; 0.074748; -0.002870; 0.004218; 0; 1; 61949614; 0; -1; -389.017; 0.0740844; 443.081; -179.923; 0.00608575; 89.9452
2015; -0.000110545; 0.349839; -0.000190826; 1.19545; 0.000170739; 1.59513; 1.57147; -0.168445; -3.214043; -2.590381; 0.074719; -0.002921; 0.004085; 0; 1; 61949901; 0; -1; -389.033; 0.0740549; 443.485; -179.932; 0.0060773; 89.9452
2062; -0.000110545; 0.349839; -0.000190826; 1.19545; 0.000170739; 1.59513; 1.57147; -0.147475; -3.206811; -2.590519; 0.074587; -0.002030; 0.004082; 0; 1; 61950188; 0; -1; -389.033; 0.0740549; 443.485; -179.932; 0.0060773; 89.9452
2109; -0.000110545; 0.35065; -0.000190826; 1.19085; 0.000170739; 1.5992; 1.57147; -0.160123; -3.218984; -2.590484; 0.074660; -0.002262; 0.004215; 0; 1; 61950483; 0; -1; -389.205; 0.0740037; 444.441; -179.949; 0.00605698; 89.9453
2140; -0.000110545; 0.350955; -0.000190826; 1.18897; 0.000170739; 1.60093; 1.57147; -0.181097; -3.206707; -2.567599; 0.074592; -0.003143; 0.004088; 0; 1; 61950779; 0; -1; -389.26; 0.073979; 444.84; -179.958; 0.00604737; 89.9453
2171; -0.000110545; 0.350955; -0.000190826; 1.18897; 0.000170739; 1.60093; 1.57147; -0.181055; -3.206645; -2.582717; 0.074809; -0.003274; 0.004089; 0; 1; 61951067; 0; -1; -389.26; 0.073979; 444.84; -179.958; 0.00604737; 89.9453
2234; -0.000110545; 0.351603; -0.000190826; 1.18447; 0.000170739; 1.60506; 1.57147; -0.185209; -3.209112; -2.582762; 0.074560; -0.003602; 0.003956; 0; 1; 61951355; 0; -1; -389.377; 0.0739182; 445.833; -179.974; 0.00602893; 89.9453
2265; -0.000110545; 0.351924; -0.000190826; 1.18232; 0.000170739; 1.60677; 1.57147; -0.160151; -3.204314; -2.567597; 0.074842; -0.002258; 0.004217; 0; 1; 61951643; 0; -1; -389.478; 0.073902; 446.302; -179.967; 0.00602964; 89.9454
2296; -0.000110545; 0.351924; -0.000190826; 1.18232; 0.000170739; 1.60677; 1.57147; -0.206195; -3.206590; -2.605767; 0.074143; -0.004106; 0.004091; 0; 1; 61951930; 0; -1; -389.478; 0.073902; 446.302; -179.967; 0.00602964; 89.9454
